NODEID,crash_count,total_killed,total_injured,severity_score,severity_score_norm,intersection_name,latitude,longitude
44700,582,0.0,278.0,499.9973101566775,1.0,MAJOR DEEGAN EXPRESSWAY & WEST FORDHAM ROAD,40.86186388556317,-73.91273784315315
26912,834,0.0,402.0,472.61761550695905,0.9452385600389545,BUFFALO AVENUE & EASTERN PARKWAY & EASTERN PARKWAY LINE,40.668505252710325,-73.92560682554654
29303,1076,1.0,382.0,460.51689950595465,0.921036221727578,ATLANTIC AVENUE & FULTON STREET LINE & PENNSYLVANIA AVENUE,40.675736394072345,-73.89685197457453
28915,987,2.0,447.0,430.64711041277104,0.8612944063785786,LINDEN BOULEVARD & PENNSYLVANIA AVENUE,40.65857648666636,-73.89062134157223
40452,385,0.0,232.0,372.62555498012387,0.7452469498630596,CROSS ISLAND PARKWAY & HEMPSTEAD AVENUE,40.71121891474099,-73.7282602664229
95822,536,2.0,294.0,363.81435880416126,0.7276238975774881,BELT PARKWAY & DISTRICT BOUNDARY,40.642611496145975,-73.87647131143005
15968,1427,1.0,287.0,354.99514138310246,0.7099848022009557,FLATBUSH AVENUE EXTENSION & TILLARY STREET,40.69603534136187,-73.98452995779606
47365,303,0.0,191.0,351.180747824501,0.702355729396475,2020 CB BOUNDARY & BRUCKNER BOULEVARD & LONGWOOD AVENUE,40.81575456590835,-73.89527690870976
9065197,289,1.0,185.0,332.8871064607173,0.6657670765269644,BRUCKNER EXPRESSWAY WB EXIT 48 & BRUCKNER EXPWY WB EN LEGGETT AVE & LEGGETT AVENUE,40.81309477385651,-73.89825562559325
29756,756,0.0,332.0,314.2001339912428,0.6283917319866863,ATLANTIC AVENUE & LOGAN STREET,40.68001443693011,-73.87742686130885
29315,693,0.0,305.0,306.01110804501434,0.6120130667593716,JACKIE ROBINSON PARKWAY & JAMAICA AVENUE & PENNSYLVANIA AVENUE,40.6781632546092,-73.89747545214588
44120,396,1.0,190.0,303.1592577884824,0.6063091526507981,CROSS BRONX EP SB EN JEROME AV & CROSS BRONX EXPRESSWAY & JEROME AVENUE & JEROME AVENUE LINE,40.84517775469019,-73.91416076370362
26911,488,0.0,323.0,297.24604235020865,0.5944822788911565,EASTERN PARKWAY & EASTERN PARKWAY LINE & ROCHESTER AVENUE,40.66864719410812,-73.92834967195502
99005,186,0.0,119.0,290.83430633957465,0.5816583266490148,BRUCKNER BOULEVARD & EAST 138 STREET,40.80458646725573,-73.91212496110782
28640,538,2.0,277.0,287.38768930551413,0.5747648344390365,LINDEN BOULEVARD & ROCKAWAY AVENUE,40.65473842017595,-73.90692334249326
28567,349,0.0,162.0,282.7058880025154,0.565400881179377,ROCKAWAY PARKWAY & SHORE PARKWAY,40.63082080477168,-73.8863571262001
43732,678,0.0,243.0,280.272658984245,0.560534240900872,AMSTERDAM AVENUE & BIKE PATH & WASHINGTON BRIDGE & WEST 181 STREET,40.84811893850539,-73.93088430107696
9035729,713,0.0,227.0,277.4349407640553,0.5548585919234323,VAN WYCK EXPRESSWAY,40.70453397837512,-73.81743226270399
9031585,527,0.0,205.0,275.2447187648294,0.550477983883554,BRUCKNER BOULEVARD & HUNTS POINT AVENUE,40.82018926750065,-73.89067701263728
27279,683,0.0,290.0,272.36730165505884,0.5447229341536183,ATLANTIC AVENUE & EASTERN PARKWAY,40.67618933250074,-73.90808819477544
19489,395,0.0,217.0,267.79240255823305,0.5355727933129774,BROOKLYN QUEENS EXPRESSWAY & KENT AVENUE,40.69998354976192,-73.96179611574271
26863,641,2.0,300.0,267.05250748724046,0.5340929477549462,EASTERN PARKWAY & EASTERN PARKWAY LINE & UTICA AVENUE,40.66879854250313,-73.93111937853939
27050,532,0.0,279.0,259.30221895670667,0.5185917902192112,DISTRICT BOUNDARY & EASTERN PARKWAY & HOWARD AVENUE,40.6694763732542,-73.91996590484914
